Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
2015,Work Experience by Education,Full Time,Grade 9,"Baltimore City, Maryland","5,591",,"5,591",,
2015,Work Experience by Education,Full Time,Grade 10,"Baltimore City, Maryland","10,861",,"10,861",,
2015,Work Experience by Education,Full Time,Grade 11,"Baltimore City, Maryland","13,302",,"13,302",,
2015,Work Experience by Education,Full Time,Grade 12,"Baltimore City, Maryland","7,958",,"7,958",,
2015,Work Experience by Education,Full Time,Regular Highschool Diploma,"Baltimore City, Maryland","120,925",,"120,925",,
2015,Work Experience by Education,Full Time,GED,"Baltimore City, Maryland","19,338",,"19,338",,
2015,Work Experience by Education,Full Time,Some College,"Baltimore City, Maryland","23,991",,"23,991",,
2015,Work Experience by Education,Full Time,1 or more,"Baltimore City, Maryland","80,713",,"80,713",,
2015,Work Experience by Education,Full Time,Associate,"Baltimore City, Maryland","25,114",,"25,114",,
2015,Work Experience by Education,Full Time,Bachlor's,"Baltimore City, Maryland","108,498",,"108,498",,
2015,Work Experience by Education,Full Time,Master's,"Baltimore City, Maryland","55,833",,"55,833",,
2015,Work Experience by Education,Full Time,Professional,"Baltimore City, Maryland","19,747",,"19,747",,
2015,Work Experience by Education,Full Time,Doctoral,"Baltimore City, Maryland","12,818",,"12,818",,
2015,Work Experience by Poverty,Not Working,0-25,"Baltimore City, Maryland","116,035",,"116,035",,
2015,Work Experience by Poverty,Not Working,26-50,"Baltimore City, Maryland","41,707",,"41,707",,
2015,Work Experience by Poverty,Not Working,51-75,"Baltimore City, Maryland","55,908",,"55,908",,
2015,Work Experience by Poverty,Not Working,76-100,"Baltimore City, Maryland","55,262",,"55,262",,
2015,Work Experience by Poverty,Not Working,100-500,"Baltimore City, Maryland","310,396",,"310,396",,
2015,Work Experience by Poverty,Not Working,501,"Baltimore City, Maryland","58,057",,"58,057",,
2015,Work Experience by Poverty,Part Time,0-25,"Baltimore City, Maryland","12,503",,"12,503",,
2015,Work Experience by Poverty,Part Time,26-50,"Baltimore City, Maryland","8,609",,"8,609",,
2015,Work Experience by Poverty,Part Time,51-75,"Baltimore City, Maryland","4,965",,"4,965",,
2015,Work Experience by Poverty,Part Time,76-100,"Baltimore City, Maryland","6,951",,"6,951",,
2015,Work Experience by Poverty,Part Time,100-500,"Baltimore City, Maryland","46,988",,"46,988",,
2015,Work Experience by Poverty,Part Time,501,"Baltimore City, Maryland","10,885",,"10,885",,
2015,Work Experience by Poverty,Full Time,0-25,"Baltimore City, Maryland","10,394",,"10,394",,
2015,Work Experience by Poverty,Full Time,26-50,"Baltimore City, Maryland","8,037",,"8,037",,
2015,Work Experience by Poverty,Full Time,51-75,"Baltimore City, Maryland","9,096",,"9,096",,
2015,Work Experience by Poverty,Full Time,76-100,"Baltimore City, Maryland","14,123",,"14,123",,
2015,Work Experience by Poverty,Full Time,100-500,"Baltimore City, Maryland","312,035",,"312,035",,
2015,Work Experience by Poverty,Full Time,501,"Baltimore City, Maryland","162,767",,"162,767",,
2016,Work Experience by Gender,Not Working,Male,"Baltimore City, Maryland","291,906",,"291,906",,
2016,Work Experience by Gender,Part Time,Male,"Baltimore City, Maryland","36,725",,"36,725",,
2016,Work Experience by Gender,Full Time,Male,"Baltimore City, Maryland","253,201",,"253,201",,
2016,Work Experience by Gender,Not Working,Female,"Baltimore City, Maryland","318,673",,"318,673",,
2016,Work Experience by Gender,Part Time,Female,"Baltimore City, Maryland","57,609",,"57,609",,
2016,Work Experience by Gender,Full Time,Female,"Baltimore City, Maryland","277,904",,"277,904",,
2016,Work Experience by Race,Not Working,White,"Baltimore City, Maryland","146,084",,"146,084",,
